context_id,budget,source_agent,target_agent,success_self,success_cross,judge_drop,n_samples
longmemeval::f0853d11,128,A_react,A_plan,0.0,0.0,0.0,16
longmemeval::f0853d11,128,A_react,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,128,A_plan,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,128,A_plan,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,128,A_cot,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,128,A_cot,A_plan,0.0,0.0,0.0,16
longmemeval::f0853d11,256,A_react,A_plan,0.0,0.0,0.0,16
longmemeval::f0853d11,256,A_react,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,256,A_plan,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,256,A_plan,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,256,A_cot,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,256,A_cot,A_plan,0.0,0.0,0.0,16
longmemeval::f0853d11,512,A_react,A_plan,0.0,0.0,0.0,16
longmemeval::f0853d11,512,A_react,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,512,A_plan,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,512,A_plan,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,512,A_cot,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,512,A_cot,A_plan,0.0,0.0,0.0,16
longmemeval::f0853d11,1024,A_react,A_plan,0.0,0.0,0.0,16
longmemeval::f0853d11,1024,A_react,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,1024,A_plan,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,1024,A_plan,A_cot,0.0,0.0,0.0,16
longmemeval::f0853d11,1024,A_cot,A_react,0.0,0.0,0.0,16
longmemeval::f0853d11,1024,A_cot,A_plan,0.0,0.0,0.0,16
longmemeval::gpt4_6ed717ea,128,A_react,A_plan,0.0,0.0,0.0,16
longmemeval::gpt4_6ed717ea,128,A_react,A_cot,0.0,0.0,0.0,16
longmemeval::gpt4_6ed717ea,128,A_plan,A_react,0.0,0.0,0.0,16
longmemeval::gpt4_6ed717ea,128,A_plan,A_cot,0.0,0.0,0.0,16
